Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Revenue,Month
5341-1,2015-07-25,Annie Thurman,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Low,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2015-07-26,1.59,2.61,$1.02,33.0,107.8,7%,9.54,$106.82,0.5,109.0,106.82,2015-07
5342-1,2013-12-13,Joseph Airdo,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Critical,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,2013-12-14,2.98,5.84,$2.86,42.0,19.56,7%,0.2,$19.36,0.83,21.22,19.36,2013-12
5342-1,2013-12-13,Ben Peterman,"2a/285A Crown St,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Small Pack,Regular Air,2013-12-15,2.16,3.85,$1.69,28.0,19.56,3%,0.2,$19.36,0.7,21.22,19.36,2013-12
5342-1,2013-12-13,Joseph Airdo,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Wrap Bag,Regular Air,2013-12-14,4.48,8.14,$3.66,22.0,19.56,10%,0.2,$19.36,3.12,21.22,19.36,2013-12
5342-1,2013-12-13,Carol Triggs,"644 George St,Sydney",Sydney,NSW,Home Office,Radhya Staples,Low,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Technology,Large Box,Regular Air,2013-12-22,2.16,3.85,$1.69,25.0,19.56,7%,0.2,$19.36,0.7,21.22,19.36,2013-12
5342-1,2013-12-13,Joseph Airdo,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,Critical,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighter, Yellow Ink",Office Supplies,Wrap Bag,Regular Air,2013-12-14,1.05,1.95,$0.90,22.0,19.56,4%,0.2,$19.36,1.63,21.22,19.36,2013-12
5342-1,2013-12-13,Joseph Airdo,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Wrap Bag,Regular Air,2013-12-14,4.48,8.14,$3.66,38.0,19.56,2%,0.2,$19.36,3.12,21.22,19.36,2013-12
5342-1,2013-10-05,Neil Knudson,"4A Lyons St,Strathfield",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan 474 Labels,Office Supplies,Wrap Bag,Express Air,2013-10-07,1.84,2.88,$1.04,18.0,206.91,4%,14.58,$183.69,0.99,199.8,183.69,2013-10
5343-1,2014-03-21,Justin Ellison,"163 Concord Road,North Strathfield",Sydney,NSW,Home Office,Charlie Buo,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2014-03-26,1.59,2.61,$1.02,41.0,3.52,5%,0.15,$2.36,0.5,5.07,2.36,2014-03
5343-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2014-03-13,2.5,5.68,$3.18,34.0,120.78,3%,1.22,$222.70,3.6,213.53,222.7,2014-03
5344-1,2013-12-18,Carol Triggs,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Medium,Artisan 481 Labels,Office Supplies,Wrap Bag,Express Air,2013-12-20,1.94,3.08,$1.14,39.0,40.0,8%,4.0,$36.00,0.99,37.2,36.0,2013-12
5344-1,2013-04-26,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Security-Tint Envelopes,Office Supplies,Small Box,Regular Air,2013-04-26,4.89,7.64,$2.75,35.0,359.64,3%,3.59,$333.85,1.39,339.25,333.85,2013-04
5344-1,2015-09-17,Naresj Patel,"106 Ebley Street,Bondi Junction",Sydney,NSW,Corporate,Leighton Forrest,Medium,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,2015-09-17,1.53,2.78,$1.25,35.0,8.94,6%,0.54,$8.68,1.34,10.64,8.68,2015-09
5345-1,2015-07-27,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan 478 Labels,Office Supplies,Small Box,Express Air,2015-07-31,3.14,4.91,$1.77,14.0,28.52,9%,2.54,$26.60,0.5,26.06,26.6,2015-07
5345-1,2014-06-17,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Medium,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,2014-06-18,1.94,3.08,$1.14,21.0,26.2,6%,2.2,$24.60,0.99,24.42,24.6,2014-06
5345-1,2013-12-17,Tony Molinari,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Express Air,2013-12-19,5.33,8.6,$3.27,8.0,197.8,6%,3.96,$193.84,6.19,200.03,193.84,2013-12
5345-1,2013-06-07,Janet Martin,"24 Addison Rd,Marrickville",Sydney,NSW,Home Office,Radhya Staples,Not Specified,Apex Forged Steel Scissors with Black Enamel Handles,Office Supplies,Wrap Bag,Regular Air,2013-06-08,4.1,9.31,$5.21,36.0,383.68,10%,32.87,$283.83,3.98,292.63,283.83,2013-06
5345-1,2013-08-20,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Express Air,2013-08-22,5.33,8.6,$3.27,37.0,197.8,8%,3.96,$193.84,6.19,200.03,193.84,2013-08
5345-1,2014-07-30,Keith Herrera,"120 Hardware St,Melbourne",Melbourne,VIC,Consumer,Yvette Biti,High,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2014-07-31,3.84,6.3,$2.46,50.0,31.6,10%,2.25,$21.06,0.5,22.09,21.06,2014-07
5345-1,2013-09-03,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-09-05,5.33,8.6,$3.27,9.0,197.8,3%,3.96,$193.84,6.19,200.03,193.84,2013-09
5345-1,2013-07-16,George Zrebassa,"73 MacLeay St,Potts Point",Sydney,NSW,Home Office,Natasha Song,Low,Aluminum Document Frame,Office Supplies,Small Box,Regular Air,2013-07-17,5.5,12.22,$6.72,43.0,197.8,8%,3.96,$193.84,2.85,200.03,193.84,2013-07
5345-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan 484 Labels,Office Supplies,Small Box,Regular Air,2014-09-17,1.84,2.88,$1.04,33.0,80.88,8%,5.69,$78.33,0.99,79.41,78.33,2014-09
5345-1,2013-07-20,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,2013-07-22,5.33,8.6,$3.27,39.0,197.8,4%,3.96,$193.84,6.19,200.03,193.84,2013-07
5345-1,2013-07-05,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Office Shears by Apex,Office Supplies,Small Box,Regular Air,2013-07-07,0.94,2.08,$1.14,8.0,74.9,2%,7.48,$68.88,2.56,79.53,68.88,2013-07
5346-1,2016-05-31,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,Medium,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2016-06-04,1.6,2.62,$1.02,46.0,118.58,1%,9.95,$116.65,0.8,118.19,116.65,2016-05
5346-1,2014-07-15,Bobby Odegard,"1/160 Anzac Parade,Kensington",Sydney,NSW,Home Office,Natasha Song,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2014-07-17,4.53,7.3,$2.77,44.0,283.72,4%,29.37,$262.35,7.72,268.75,262.35,2014-07
5346-1,2015-08-12,Nora Pelletier,"5/250 Old Northern Road,Castle Hill",Sydney,NSW,Consumer,Nicholas Fernandes,High,Artisan 487 Labels,Office Supplies,Small Pack,Regular Air,2015-08-14,2.29,3.69,$1.40,24.0,111.66,10%,4.57,$117.07,0.5,119.85,117.07,2015-08
5347-1,2017-02-01,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2017-02-04,5.33,8.6,$3.27,42.0,197.8,0%,3.96,$193.84,6.19,200.03,193.84,2017-02
5347-1,2015-05-20,Alan Shonely,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Artisan Hanging File Binders,Office Supplies,Small Box,Express Air,2015-05-21,3.65,5.98,$2.33,23.0,369.0,2%,3.98,$364.30,1.49,364.31,364.3,2015-05
5348-1,2015-07-29,Alian Denenbon,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,High,"Wirebound Message Book, 4 per Page",Office Supplies,Small Box,Regular Air,2015-07-31,3.48,5.43,$1.95,10.0,83.12,4%,7.54,$78.16,0.95,79.31,78.16,2015-07
5349-1,2013-12-23,Don Miller,"120 Hardware St,Melbourne",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 478 Labels,Office Supplies,Wrap Bag,Regular Air,2013-12-23,3.14,4.91,$1.77,7.0,56.92,2%,2.36,$56.56,0.5,57.06,56.56,2013-12
5350-1,2014-12-28,Charles Crestani,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Low,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Small Box,Express Air,2014-12-30,84.22,210.55,$126.33,37.0,986.06,4%,9.86,$976.20,9.99,988.42,976.2,2014-12
5350-1,2013-12-27,Denise Monton,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Beekin 105-Key Black Keyboard,Technology,Small Pack,Regular Air,2013-12-29,6.39,19.98,$13.59,35.0,1079.29,3%,97.14,$982.15,4.0,988.42,982.15,2013-12
5351-1,2014-01-10,Anne Pryor,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2014-01-10,6.39,19.98,$13.59,39.0,345.42,3%,14.35,$323.65,4.0,339.55,323.65,2014-01
5351-1,2013-09-04,Dan Caclop,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Smiths Standard Envelopes,Office Supplies,Wrap Bag,Express Air,2013-09-10,3.52,5.68,$2.16,5.0,98.31,9%,2.93,$95.97,1.39,95.99,95.97,2013-09
5351-1,2014-07-04,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2014-07-06,4.59,7.28,$2.69,39.0,181.6,4%,9.61,$176.69,11.15,174.93,176.69,2014-07
5352-1,2014-10-29,Brendan Murry,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Low,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Small Box,Regular Air,2014-10-31,2.29,3.58,$1.29,46.0,26.9,9%,2.8,$26.13,1.63,27.42,26.13,2014-10
5353-1,2013-12-05,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Critical,Wirebound Voice Message Log Book,Office Supplies,Small Pack,Regular Air,2013-12-07,2.9,4.76,$1.86,21.0,2007.53,3%,180.68,"$1,826.85",0.88,1858.84,1826.85,2013-12
5353-1,2013-06-23,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,Critical,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-06-23,1.84,2.88,$1.04,11.0,126.08,3%,3.06,$121.70,0.99,123.26,121.7,2013-06
5353-1,2013-11-01,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Home Office,Mihael Khan,Not Specified,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-11-02,3.65,5.98,$2.33,36.0,167.08,4%,3.85,$152.87,1.49,153.28,152.87,2013-11
5354-1,2013-12-29,John Castell,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Consumer,Natasha Song,Medium,TechSavi Cordless Elite Duo,Office Supplies,Wrap Bag,Regular Air,2013-12-30,60.59,100.98,$40.39,48.0,100.98,3%,10.1,$90.88,7.18,98.06,90.88,2013-12
5354-1,2014-07-03,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Medium,Artisan 474 Labels,Technology,Medium Box,Regular Air,2014-07-05,1.84,2.88,$1.04,25.0,50.96,5%,0.32,$49.22,0.99,50.07,49.22,2014-07
5354-1,2013-12-29,Steve Carroll,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,TechSavi Cordless Access Keyboard,Office Supplies,Wrap Bag,Regular Air,2013-12-30,14.7,29.99,$15.29,3.0,100.98,9%,10.1,$90.88,5.5,98.06,90.88,2013-12
5354-1,2013-12-29,John Castell,"96 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TechSavi Cordless Elite Duo,Office Supplies,Wrap Bag,Regular Air,2013-12-30,60.59,100.98,$40.39,8.0,100.98,6%,10.1,$90.88,7.18,98.06,90.88,2013-12
5354-1,2013-12-29,John Castell,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,2013-12-30,60.59,100.98,$40.39,20.0,100.98,0%,10.1,$90.88,7.18,98.06,90.88,2013-12
5354-1,2013-12-29,John Castell,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,TechSavi Cordless Access Keyboard,Furniture,Small Pack,Regular Air,2013-12-30,14.7,29.99,$15.29,44.0,100.98,3%,10.1,$90.88,5.5,98.06,90.88,2013-12
5355-1,2015-03-03,Nicole Brennan,"310 Wattle St,Ultimo",Sydney,NSW,Consumer,Aanya Zhang,Critical,Economy Rollaway Files,Office Supplies,Small Box,Regular Air,2015-03-04,67.73,165.2,$97.47,43.0,403.85,5%,20.19,$383.66,19.99,388.41,383.66,2015-03
5355-1,2013-10-11,Amy Cox,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,Medium,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,Express Air,2013-10-12,3.48,5.43,$1.95,26.0,63.82,10%,4.46,$52.22,0.95,59.32,52.22,2013-10
5355-1,2013-12-29,John Castell,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Corporate,Natasha Song,Medium,Cando PC940 Copier,Office Supplies,Small Pack,Regular Air,2013-12-30,278.99,449.99,$171.00,34.0,110.98,4%,11.0,$90.88,49.0,90.88,90.88,2013-12
5355-1,2015-02-04,David Smith,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Artisan 474 Labels,Office Supplies,Small Box,Express Air,2015-02-06,1.84,2.88,$1.04,5.0,56.3,4%,3.92,$59.66,0.99,60.51,59.66,2015-02
5356-1,2013-10-27,Denise Leinenbach,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,High,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Small Box,Regular Air,2013-10-31,4.48,8.14,$3.66,47.0,91.36,0%,7.3,$93.76,3.12,99.61,93.76,2013-10
5356-1,2013-10-28,Toby Knight,"Crown Complex,Southbank",Melbourne,VIC,Small Business,Yvette Biti,Low,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,2013-10-29,8.92,29.74,$20.82,5.0,390.56,7%,0.0,$392.63,6.64,398.23,392.63,2013-10
5356-1,2013-11-01,John Murra,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Medium,Steady Pocket Accent Highlighters,Office Supplies,Wrap Bag,Express Air,2013-11-03,0.93,1.6,$0.67,31.0,51.64,0%,2.17,$51.91,1.29,59.6,51.91,2013-11
5356-1,2015-08-03,Dave Hallsten,"1 John St,Waterloo",Sydney,NSW,Home Office,Charlie Bui,High,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2015-08-08,1.18,1.88,$0.70,34.0,41.92,7%,4.1,$38.96,1.49,39.95,38.96,2015-08
5356-1,2013-12-05,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Medium,DFeek ODtal Color Pencil Set,Office Supplies,Small Box,Regular Air,2013-12-07,11.11,19.84,$8.73,7.0,2007.53,3%,180.68,"$1,826.85",4.1,1835.84,1826.85,2013-12
5356-1,2015-04-10,Katrina Edelman,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Small Business,Preston Senome,Low,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2015-04-11,21.56,36.55,$14.99,20.0,52.82,5%,3.17,$49.65,13.89,50.92,49.65,2015-04
5356-1,2013-10-20,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-10-21,1.84,2.88,$1.04,37.0,297.6,5%,0.0,$297.66,0.99,305.3,297.66,2013-10
5357-1,2014-07-05,James Galang,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,OIC Bulk Pack Metal Binder Clips,Office Supplies,Small Pack,Regular Air,2014-07-09,3.95,6.08,$2.13,34.0,169.8,4%,5.49,$156.97,1.82,159.69,156.97,2014-07
5357-1,2016-12-04,Kean Thrrason,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,High,Alto Perma 2700 Stacking Storage Drawers,Technology,Small Pack,Regular Air,2016-12-05,8.92,29.74,$20.82,1.0,579.42,10%,34.77,$544.65,6.64,548.65,544.65,2016-12
5357-1,2013-12-30,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2013-12-30,13.64,20.98,$7.34,1.0,482.54,0%,14.48,$468.06,1.49,469.55,468.06,2013-12
5358-1,2014-12-13,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Round Ring Poly Binders,Office Supplies,Small Box,Regular Air,2014-12-15,1.82,2.84,$1.02,1.0,41.9,3%,0.65,$49.07,5.44,49.09,49.07,2014-12
5358-1,2013-08-11,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Furniture,Large Box,Regular Air,2013-08-13,4.48,8.14,$3.66,17.0,78.04,0%,2.33,$78.59,3.12,79.33,78.59,2013-08
5358-2,2014-01-04,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Home Office,Preston Senome,Medium,Desktop 3-Pocket Hot File,Office Supplies,Small Box,Regular Air,2014-01-05,22.18,54.1,$31.92,18.0,2272.2,5%,45.44,"$2,226.76",19.99,2246.75,2226.76,2014-01
5358-2,2014-01-04,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Home Office,Preston Senome,High,Desktop 3-Rocket Hot File,Office Supplies,Wrap Bag,Regular Air,2014-01-05,22.18,54.1,$31.92,29.0,2272.2,3%,45.44,"$2,226.76",19.99,2246.75,2226.76,2014-01
5358-2,2014-01-04,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Home Office,Preston Senome,Not Specified,Desktop 3-Pocket Hot File,Technology,Small Box,Regular Air,2014-01-05,22.18,54.1,$31.92,34.0,2252.2,6%,45.44,"$2,226.76",19.99,2246.75,2226.76,2014-01
5359-1,2013-11-02,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Consumer,Yvette Biti,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-11-03,4.59,7.28,$2.69,34.0,260.02,3%,14.1,$246.18,11.15,251.85,246.18,2013-11
5359-1,2014-01-04,Helen Andreada,"470 Anzac Parade,Kingsford",Sydney,NSW,Consumer,Tina Carlton,Critical,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Office Supplies,Wrap Bag,Regular Air,2014-01-06,56.16,136.98,$80.82,50.0,2465.64,9%,49.31,"$2,416.33",24.49,2440.82,2416.33,2014-01
5359-1,2014-09-11,Philip Brown,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2014-09-13,1.84,2.88,$1.04,1.0,96.06,6%,8.3,$90.22,0.99,90.01,90.22,2014-09
5359-1,2014-01-14,Fred Wasserman,"61 York St,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,Alto Perma 3000 Stacking Storage Drawers,Technology,Small Pack,Regular Air,2014-01-17,8.92,29.74,$20.82,21.0,522.84,9%,10.19,$402.85,6.64,428.85,402.85,2014-01
5359-1,2013-12-27,Tony Molinari,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Binding Machine Supplies,Office Supplies,Wrap Bag,Regular Air,2013-12-29,18.38,29.17,$10.79,40.0,1079.29,3%,97.14,$982.15,6.27,988.42,982.15,2013-12
5359-1,2014-12-01,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Small Business,Natasha Song,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Express Air,2014-12-05,5.19,12.98,$7.79,31.0,371.68,6%,10.03,$363.03,3.14,367.95,363.03,2014-12
5359-1,2013-08-29,John Castell,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Poly Binder Pockets,Office Supplies,Small Box,Express Air,2013-08-30,2.26,3.58,$1.32,22.0,164.12,2%,1.64,$152.77,5.47,153.27,152.77,2013-08
5359-1,2014-05-03,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Consumer,Yvette Biti,Medium,Alto Memo Cubes,Technology,Small Pack,Express Air,2014-05-07,3.32,5.18,$1.86,3.0,151.34,3%,2.59,$152.07,2.04,153.28,152.07,2014-05
5359-1,2014-11-19,Brendan Murry,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Low,PastelOcean Color Pencil Set,Furniture,Small Pack,Regular Air,2014-11-21,11.11,19.84,$8.73,17.0,165.92,1%,15.51,$152.97,4.1,157.75,152.97,2014-11
5360-1,2013-05-05,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Small Box,Regular Air,2013-05-10,315.61,500.97,$185.36,20.0,541.26,10%,54.92,$528.36,69.3,523.36,528.36,2013-05
5360-1,2013-10-04,Neil Knudson,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,2013-10-07,1.6,2.62,$1.02,32.0,84.2,9%,6.52,$84.97,0.8,86.73,84.97,2013-10
5360-1,2014-01-04,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Not Specified,Economy Rollaway Files,Office Supplies,Small Box,Regular Air,2014-01-05,67.73,165.2,$97.47,14.0,8094.8,10%,404.74,"$7,690.06",19.99,7710.05,7690.06,2014-01
5360-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Emerson LQ-870 Dot Matrix Printer,Technology,Small Box,Regular Air,2013-11-20,219.61,535.64,$316.03,40.0,689.0,4%,67.82,$694.56,14.7,608.97,694.56,2013-11
5360-1,2013-08-10,Edward Hooks,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,3Max Organizer Strips,Office Supplies,Small Pack,Regular Air,2013-08-12,3.4,5.4,$2.00,50.0,78.0,8%,2.9,$75.10,7.78,79.71,75.1,2013-08
5361-1,2013-10-25,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Box,Regular Air,2013-10-27,8.31,15.98,$7.67,6.0,448.5,2%,43.56,$433.59,6.5,439.39,433.59,2013-10
5362-1,2015-06-05,Tra Armssront,"485 Crown St,Surry Hills",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Regular Air,2015-06-06,1.17,2.78,$1.61,34.0,65.1,2%,5.21,$59.69,1.2,60.39,59.69,2015-06
5362-1,2015-02-18,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,2015-02-19,0.93,1.48,$0.55,7.0,46.34,9%,4.92,$43.44,0.7,44.92,43.44,2015-02
5362-1,2014-12-10,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,High,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-12-11,54.52,100.97,$46.45,32.0,4568.6,7%,49.71,"$4,454.85",7.18,4570.55,4454.85,2014-12
5363-1,2015-07-19,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2015-07-20,18.38,29.17,$10.79,10.0,105.8,6%,10.39,$98.09,6.27,98.39,98.09,2015-07
5363-1,2014-01-04,Helen Andreada,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,Critical,Office Shears by Apex,Office Supplies,Small Box,Regular Air,2014-01-06,0.94,2.08,$1.14,23.0,89.44,2%,4.47,$84.97,2.56,87.53,84.97,2014-01
5363-1,2013-04-30,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Low,Smiths Gold Paper Clips,Office Supplies,Small Box,Regular Air,2013-05-02,1.82,2.98,$1.16,38.0,99.92,1%,9.99,$90.91,1.58,94.99,90.91,2013-04
5364-1,2014-12-16,Harry Greene,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,High,12 Colored Short Pencils,Office Supplies,Small Pack,Regular Air,2014-12-18,1.09,2.6,$1.51,10.0,80.96,1%,5.67,$75.29,2.4,92.19,75.29,2014-12
